Beat,Description,Grid,Occurence_Date,Offense_Category,Offense_Code,Offense_Ext,Police_District,Record_ID,Day_of_the_Week,Month,Year,Hour,Encoded_Beat
1B,459 PC BURG RESIDENCE-NO FORCE,435,"Fri 05-01-2020, 04:00:00 PM",BURGLARY,2204,0,1,1452613,5,01,2020,16,1
6B,211 PC ROBBERY-SHOPLIFT,1084,"Mon 05-04-2020, 04:13:00 PM",ROBBERY,1203,0,6,1452624,1,04,2020,16,16
2B,211 PC ROBBERY-UNSPECIFIED,532,"Sat 05-02-2020, 11:00:00 PM",ROBBERY,1299,0,2,1452625,6,02,2020,23,4
1A,459 PC BURG VEHICLE,123,"Thu 04-09-2020, 02:15:00 AM",BURGLARY,2299,01,1,1452634,4,09,2020,02,0
4B,459 PC BURG VEHICLE,1336,"Wed 04-15-2020, 07:15:00 AM",BURGLARY,2299,01,4,1452635,3,15,2020,07,10
3B,459 PC BURG VEHICLE,716,"Fri 03-13-2020, 08:15:00 AM",BURGLARY,2299,01,3,1452637,5,13,2020,08,7
4B,459 PC BURG VEHICLE,966,"Wed 04-01-2020, 12:00:00 PM",BURGLARY,2299,01,4,1452638,3,01,2020,12,10
3A,484 PETTY THEFT-SHOPLIFT,776,"Mon 05-04-2020, 09:08:00 PM",LARCENY,2303,3,3,1452639,1,04,2020,21,6
3B,459 PC BURG VEHICLE,748,"Thu 04-30-2020, 07:30:00 PM",BURGLARY,2299,01,3,1452640,4,30,2020,19,7
3B,459 PC BURG VEHICLE,717,"Thu 04-30-2020, 09:00:00 AM",BURGLARY,2299,01,3,1452644,4,30,2020,09,7
5A,459 PC BURG VEHICLE,1365,"Wed 04-29-2020, 12:45:00 PM",BURGLARY,2299,01,5,1452646,3,29,2020,12,12
3M,484 PC PETTY THEFT,744,"Wed 04-29-2020, 03:00:00 PM",LARCENY,2399,2,3,1452647,3,29,2020,15,8
1B,459 PC BURG VEHICLE,401,"Thu 04-30-2020, 12:01:00 AM",BURGLARY,2299,01,1,1452648,4,30,2020,00,1
3B,484 PC PETTY THEFT,766,"Mon 04-27-2020, 02:01:00 PM",LARCENY,2399,2,3,1452649,1,27,2020,14,7
3B,484 PC PETTY THEFT,726,"Wed 04-29-2020, 10:30:00 PM",LARCENY,2399,2,3,1452650,3,29,2020,22,7
1A,459 PC BURG VEHICLE,336,"Thu 04-09-2020, 08:00:00 PM",BURGLARY,2299,01,1,1452652,4,09,2020,20,0
4C,484 PETTY THEFT/LICENSE PLATE,1286,"Mon 05-04-2020, 09:00:00 PM",LARCENY,2399,4,4,1452655,1,04,2020,21,11
6A,211 PC ROBBERY-PURSE SNATCH,1022,"Sun 05-03-2020, 04:19:00 PM",ROBBERY,1210,0,6,1452658,7,03,2020,16,15
2C,211 PC ROBBERY-UNSPECIFIED,637,"Sun 05-03-2020, 12:00:00 PM",ROBBERY,1299,0,2,1452659,7,03,2020,12,5
6D,211 PC ROBBERY-UNSPECIFIED,851,"Sun 05-03-2020, 09:50:00 PM",ROBBERY,1299,0,6,1452660,7,03,2020,21,18
3A,211 PC ROBBERY-UNSPECIFIED,721,"Mon 05-04-2020, 03:41:00 PM",ROBBERY,1299,0,3,1452661,1,04,2020,15,6
