hotness_score,supply_score,demand_score,median_listing_price
79.78,84.04,75.52,227550
79.37,92.12,66.61,330050
78.84,81.14,76.55,648225
77.91,87.71,68.12,445000
77.74,91.03,64.45,272050
75.34,83.31,67.37,352550
72.8,82.5,63.09,259000
70.51,91.03,49.99,252050
68.93,84.84,53.02,401193.5
35.2,17.17,53.23,499050
89.98,89.53,90.43,480050
89.87,94.62,85.12,320050
89.54,94.62,84.46,320050
88.92,94.62,83.22,410050
88.7,97.26,80.14,329050
86.33,89.53,83.14,328050
86.01,86.6,85.42,295050
85.02,88.15,81.89,290050
83.73,80.65,86.8,644550
83.66,75.26,92.07,649050
83.2,88.15,78.25,339050
82.32,86.6,78.04,289950
81.72,92.82,70.62,449950
81.34,78.67,84,725050
81.04,85.14,76.95,285050
79.44,80.65,78.24,255050
79.03,83.95,74.1,275050
78.39,77.13,79.66,353450
78.34,78.67,78.01,624550
77.96,89.53,66.4,365050
76.15,91.8,60.5,404950
75.03,69.98,80.08,280550
73.1,77.13,69.06,230050
70.08,82.56,57.6,250050
38.99,37.54,40.44,515050
95.56,97.45,93.67,467300
90.43,95.77,85.08,329775
90.4,96.11,84.68,323650
90.21,88.4,92.02,639050
89.14,90.66,87.62,412050
88.85,94.39,83.3,334950
88.08,91.5,84.66,677050
87.33,89.65,85.01,327000
86.28,89.65,82.9,289050
85.45,90.14,80.77,229550
85.29,91.5,79.07,289500
84.8,89.65,79.95,282550
84.54,92.92,76.15,282550
83.32,84.63,82.01,749050
82.46,83.37,81.54,367050
82.35,95.13,69.58,312550
81.77,90.66,72.89,367500
80.45,87.32,73.58,250050
80.12,87.32,72.93,324550
79.12,78.04,80.2,648637.5
78.59,85.33,71.84,276500
76.44,88.99,63.9,402000
72.89,80.75,65.04,272050
72.23,74.19,70.27,472550
56.37,70.73,42.02,505050
94.31,94.69,93.93,335550
91.77,90.44,93.1,642050
90.26,88.86,91.65,489050
90.08,90.44,89.72,422500
89.81,95.68,83.93,284050
89.63,90.44,88.82,719550
88.23,88.86,87.61,645078.5
87.97,92.8,83.14,359050
87.74,87.19,88.28,322550
86.28,90,82.56,289500
85.74,84.37,87.11,335050
84.99,93.11,76.87,359550
84.29,93.52,75.07,230000
83.73,87.74,79.72,285050
82.36,88.3,76.43,457550
81.58,87.74,75.41,272550
81.49,86.61,76.37,685105.5
79.81,90,69.61,277049.5
79.79,81.34,78.24,332050
78.91,90.44,67.39,272050
77.97,80.51,75.43,320550
77.26,82.62,71.9,310050
76.85,94.27,59.43,393950
75.61,83.19,68.03,230550
63.15,75.67,50.62,475050
95.11,96.29,93.94,340050
94.97,96.29,93.65,650050
93.9,98.14,89.66,338050
93.78,92.32,95.25,479050
93.58,97.43,89.73,315050
91.44,94.75,88.14,414950
90.31,93.93,86.69,277050
89.79,93.23,86.34,615550
89.46,93.23,85.69,350050
89.23,97.79,80.67,329950
88.65,95.43,81.86,465050
88.5,89.1,87.89,280050
88.13,97.43,78.84,288938
86.86,84.39,89.33,759050
86.86,85.71,88.01,369050
86.16,91.14,81.19,285050
84.03,90.11,77.95,239950
83.86,86.86,80.86,319050
81.1,79.53,82.67,259050
